PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates type of activity observed: 0-10: Low Permeability; 10-40: Moderate Permeability; > 40: High Permeability.,Permeability observed from the stirring double-sink PAMPA-BBB method. Calculations were performed using Pion Inc. software and were expressed in the units of 10^-6cm/s.,Annotation/notes on a particular compound's data or its analysis.
1,404904654,3213,CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C,Active,100,,,High,304,Class = 0
2,144204202,47965,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O,Active,100,,,High,304,Class = 0
3,24276203,3261163,CC1=C(C2=CC=CC=C2N1)C3(C4=C(C=CC(=C4)Cl)N(C3=O)CC5=CC=CC=C5)O,Active,100,,,High,303,Class = 0
4,24406852,16028320,COC1=CC(=C(C=C1CN2CCC3=NC(=NC=C3C2)N4CCN(CC4)C5=CC=CC=C5F)OC)OC,Active,100,,,High,303,Class = 0
5,89650055,9266738,CC1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SC4=NN=NN4C,Active,100,,,High,303,Class = 0
6,89650056,9266740,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)Cl,Active,100,,,High,303,Class = 0
7,89650063,44142131,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)F,Active,100,,,High,303,Class = 0
8,89650066,44142134,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)C(F)(F)F,Active,100,,,High,303,Class = 0
9,57646310,25243792,CC(=O)C1=CC2=C(S1)C3=C(N2C)C(=O)N(N=C3)CC4=CC=CC=C4F,Active,100,,,High,302,Class = 0
10,124950520,46926599,C1=CC=C(C=C1)CN2C=C(C3=C2N=CN(C3=N)C(CO)(CO)CO)C4=CC=CC=C4,Active,100,,,High,302,Class = 0
11,174006464,51358113,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F,Active,100,,,High,302,Class = 0
12,405558828,51601241,CC1([C@@H](N2[C@H](S1)[C@H](C2=O)N3C(=O)[C@H](NC3(C)C)C4=CC=CC=C4)C(=O)[O-])C,Active,100,,,High,302,Class = 0
13,363677571,9916734,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC(C)(C)C)N(C)CC3=CC=C(C=C3)C(C)(C)C,Active,100,,,High,302,Class = 0
14,384568985,10458325,CN1C[C@H]2CC(C[C@H]2C1)COC3=C(C=C4C(=C3)N=CN=C4NC5=C(C(=C(C=C5)Cl)Cl)F)OC,Active,100,,,High,301,Class = 0
15,363677901,25154868,C1CN(CCC1CC2=CC3=CC=CC=C3N=C2)C(=O)NC4=CC=CC=C4,Active,100,,,High,301,Class = 0
16,375814661,134791303,CC1=CC=CC=C1N(C)C2CN(C2)[S+](=O)(C3=CC=CC(=C3)C(F)(F)F)[O-],Active,100,,,High,301,Class = 0
17,375873932,70756727,CC1=NOC(=C1)CNC(=O)C2=CC3=C(C=C2)N(C(=O)N3CC4CC4)C5CCCCC5,Active,100,,,High,301,Class = 0
18,144206574,3395,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,Active,100,,,High,300,Class = 0
19,137275963,44451493,CN(C)C[C@@H]1CCN2C=C(C3C(C4=CN(CCO1)C5=CC=CC=C54)C(=O)NC3=O)C6=CC=CC=C62,Active,100,,,High,300,Class = 0
20,363677979,11503055,C1CN(C[C@H]1NCC2=C(C=C(C=C2)Cl)Cl)C3=NC=C(C=N3)Br,Active,100,,,High,300,Class = 0
21,363678183,177992,CCC[C@H](C1=CC2=C(C=C1)OCO2)NC(=O)N3[C@H](C(C3=O)(CC)CC)OC4=CC=C(C=C4)C(=O)N5CCN(CC5)C,Active,100,,,High,300,Class = 0
22,363678363,51346934,C1C(CN1CC2=CC(=C(C=C2)C3=NC4=C(S3)C=CC(=C4)CC5=CC=CC=C5F)F)C(=O)O,Active,100,,,High,300,Class = 0
23,363681160,71499384,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)NCCN2C3=CC=CC=C3C=C2C(F)(F)F,Active,100,,,High,300,Class = 0
24,384569494,10180,CCN(CC)CCNC1=C2C(=C(C=C1)C)SC3=CC=CC=C3C2=O,Active,100,,,High,300,Class = 0
25,375888602,134809070,CN1CCN(CC1)C(=O)CC2=CNC3=C2C=C(C=N3)C4=CC=CC=C4OC5=CC=CC=C5,Active,100,,,High,299,Class = 0
26,124954138,51035479,COC1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CC4CCCO4)C5=CC=CC=C5)C6=CC=CC=C6,Active,100,,,High,297,Class = 0
27,89650065,44142133,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)C(F)(F)F,Active,100,,,High,296,Class = 0
28,170465515,2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,Active,100,,,High,288,Class = 0
29,124954123,5135723,COC1=C(C=C(C=C1)CCN2C=NC3=C(C2=N)C(=C(N3CC4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6)OC,Active,100,,,High,287,Class = 0
30,124950513,46926596,COC1=C(C=C(C=C1)CCN2C=NC3=C(C2=N)C(=CN3CC4=CC=CC=C4)C5=CC=CC=C5)OC,Active,100,,,High,284,Class = 0
